Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
B.Pharmacy I Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=541,08-MAR-2019,bpharmacy,541,,,,,R09,Yes,Supplementary,I,I
B.Pharmacy I Year II Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=549,08-MAR-2019,bpharmacy,549,,,,,R17,Yes,Supplementary,I,II
B.Pharmacy I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=550,08-MAR-2019,bpharmacy,550,,,,,R16,Yes,Supplementary,I,II
B.Pharmacy II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=545&etype=r16&type=supply,22-FEB-2019,bpharmacy,545,r16,supply,,,R16,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=546,22-FEB-2019,bpharmacy,546,,,,,R15,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=547,22-FEB-2019,bpharmacy,547,,,,,R13,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=548,22-FEB-2019,bpharmacy,548,,,,,R09,Yes,Supplementary,II,II
B.Pharmacy III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=542,22-FEB-2019,bpharmacy,542,,,,,R15,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=543,22-FEB-2019,bpharmacy,543,,,,,R13,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=544,22-FEB-2019,bpharmacy,544,,,,,R09,Yes,Supplementary,III,II
B.Pharmacy II Year I Semester (R17) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=532&etype=r17&type=supply,08-FEB-2018,bpharmacy,532,r17,supply,,,R17,No,Regular,II,I
B.Pharmacy II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=533&&etype=r16&type=supply,08-FEB-2018,bpharmacy,533,r16,supply,,,R16,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=534,08-FEB-2019,bpharmacy,534,,,,,R15,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=535,08-FEB-2019,bpharmacy,535,,,,,R13,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=536,08-FEB-2019,bpharmacy,536,,,,,R09,Yes,Supplementary,II,I
B.Pharmacy III Year I Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=528&etype=r17&type=supply,05-FEB-2018,bpharmacy,528,r17,supply,,,R16,No,Regular,III,I
B.Pharmacy III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=529,05-FEB-2019,bpharmacy,529,,,,,R15,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=530,05-FEB-2019,bpharmacy,530,,,,,R13,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=531,05-FEB-2019,bpharmacy,531,,,,,R09,Yes,Supplementary,III,I
B.Pharmacy IV Year I Semester (R15) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=525,24-JAN-2019,bpharmacy,525,,,,,R15,No,Regular,IV,I
B.Pharmacy IV Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=526,24-JAN-2019,bpharmacy,526,,,,,R13,Yes,Supplementary,IV,I
B.Pharmacy IV Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=527,24-JAN-2019,bpharmacy,527,,,,,R09,Yes,Supplementary,IV,I
B.Pharmacy I Year II Semester (R17) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=517&etype=r17&type=supply,04-SEP-2018,bpharmacy,517,r17,supply,,,R17,No,Regular,I,II
B.Pharmacy I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=518&etype=r16&type=supply,04-SEP-2018,bpharmacy,518,r16,supply,,,R16,Yes,Supplementary,I,II
B.Pharmacy I Year I Semester (R17) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=519&etype=r17&type=supply,04-SEP-2018,bpharmacy,519,r17,supply,,,R17,Yes,Supplementary,I,I
B.Pharmacy I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=520&etype=r16&type=supply,04-SEP-2018,bpharmacy,520,r16,supply,,,R16,Yes,Supplementary,I,I
B.Pharmacy I Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=521,04-SEP-2018,bpharmacy,521,,,,,R15,Yes,Supplementary,I,I
B.Pharmacy I Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=522,04-SEP-2018,bpharmacy,522,,,,,R13,Yes,Supplementary,I,I
B.Pharmacy I Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=523,04-SEP-2018,bpharmacy,523,,,,,R09,Yes,Supplementary,I,I
B.Pharmacy I Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=524,04-SEP-2018,bpharmacy,524,,,,,R07,Yes,Supplementary,I,I
RCRV B.Pharmacy IV Year II Semester (R13) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=515&etype=rcrv,09-AUG-2018,bpharmacy,515,rcrv,,,,R13,Yes,Supplementary,IV,II
RCRV B.Pharmacy IV Year II Semester (R09) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=516&etype=rcrv,09-AUG-2018,bpharmacy,516,rcrv,,,,R09,Yes,Supplementary,IV,II
RCRV B.Pharmacy IV Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=504&etype=rcrv,09-AUG-2018,bpharmacy,504,rcrv,,,,R13,Yes,Supplementary,IV,I
RCRV B.Pharmacy IV Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=505&etype=rcrv,09-AUG-2018,bpharmacy,505,rcrv,,,,R09,Yes,Supplementary,IV,I
RCRV B.Pharmacy III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=506&etype=rcrv,09-AUG-2018,bpharmacy,506,rcrv,,,,R15,Yes,Supplementary,III,I
RCRV B.Pharmacy III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=507&etype=rcrv,09-AUG-2018,bpharmacy,507,rcrv,,,,R13,Yes,Supplementary,III,I
RCRV B.Pharmacy III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=508&etype=rcrv,09-AUG-2018,bpharmacy,508,rcrv,,,,R09,Yes,Supplementary,III,I
RCRV B.Pharmacy II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=511&etype=rcrv,09-AUG-2018,bpharmacy,511,rcrv,,,,R15,Yes,Supplementary,II,I
RCRV B.Pharmacy II Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=512&etype=rcrv,09-AUG-2018,bpharmacy,512,rcrv,,,,R13,Yes,Supplementary,II,I
RCRV B.Pharmacy II Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=513&etype=rcrv,09-AUG-2018,bpharmacy,513,rcrv,,,,R09,Yes,Supplementary,II,I
RCRV B.Pharmacy II Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=514&etype=rcrv,09-AUG-2018,bpharmacy,514,rcrv,,,,R07,Yes,Supplementary,II,I
RCRV B.Pharmacy II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=510&etype=r16&type=grade16&result=gradercrv,09-AUG-2018,bpharmacy,510,r16,grade16,gradercrv,,R16,Yes,Supplementary,II,I
B.Pharmacy IV Year II Semester (R13) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=515,12-JULY-2018,bpharmacy,515,,,,,R13,Yes,Supplementary,IV,II
B.Pharmacy IV Year II Semester (R09) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=516,12-JULY-2018,bpharmacy,516,,,,,R09,Yes,Supplementary,IV,II
B.Pharmacy IV Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=504,07-JULY-2018,bpharmacy,504,,,,,R13,Yes,Supplementary,IV,I
B.Pharmacy IV Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=505,07-JULY-2018,bpharmacy,505,,,,,R09,Yes,Supplementary,IV,I
B.Pharmacy III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=506,07-JULY-2018,bpharmacy,506,,,,,R15,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=507,07-JULY-2018,bpharmacy,507,,,,,R13,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=508,07-JULY-2018,bpharmacy,508,,,,,R09,Yes,Supplementary,III,I
B.Pharmacy III Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=509,07-JULY-2018,bpharmacy,509,,,,,R07,Yes,Supplementary,III,I
B.Pharmacy II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=510&etype=r16&type=grade16,07-JULY-2018,bpharmacy,510,r16,grade16,,,R16,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=511,07-JULY-2018,bpharmacy,511,,,,,R15,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=512,07-JULY-2018,bpharmacy,512,,,,,R13,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=513,07-JULY-2018,bpharmacy,513,,,,,R09,Yes,Supplementary,II,I
B.Pharmacy II Year I Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=514,07-JULY-2018,bpharmacy,514,,,,,R07,Yes,Supplementary,II,I
B.Pharmacy III Year II Semester (R15) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=496,22-JUN-2018,bpharmacy,496,,,,,R15,No,Regular,III,II
B.Pharmacy III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=497,22-JUN-2018,bpharmacy,497,,,,,R13,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=498,22-JUN-2018,bpharmacy,498,,,,,R09,Yes,Supplementary,III,II
B.Pharmacy III Year II Semester (R07) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=499,22-JUN-2018,bpharmacy,499,,,,,R07,Yes,Supplementary,III,II
B.Pharmacy II Year II Semester (R16) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=500&etype=r16&type=grade16,22-JUN-2018,bpharmacy,500,r16,grade16,,,R16,No,Regular,II,II
B.Pharmacy II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=501,22-JUN-2018,bpharmacy,501,,,,,R15,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=502,22-JUN-2018,bpharmacy,502,,,,,R13,Yes,Supplementary,II,II
B.Pharmacy II Year II Semester (R09) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=bpharmacy&examCode=503,22-JUN-2018,bpharmacy,503,,,,,R09,Yes,Supplementary,II,II
RC/RV M.Tech. III Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=424&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,19-JUNE-2025,mtech,424,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=425&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,19-JUNE-2025,mtech,425,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=426&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,15-MAY-2025,mtech,426,r16,rcrvintgrade,gradercrv,pg,R22,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=427&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,15-MAY-2025,mtech,427,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=428&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,15-MAY-2025,mtech,428,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. I Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=429&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,15-MAY-2025,mtech,429,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. III Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=424&grad=pg&etype=null&result=grade17&type=intgrade,29-APR-2025,mtech,424,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=425&grad=pg&etype=null&result=grade17&type=intgrade,29-APR-2025,mtech,425,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=426&grad=pg&etype=null&result=grade17&type=intgrade,11-APR-2025,mtech,426,null,intgrade,grade17,pg,R22,Yes,Supplementary,Unknown,Unknown
M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=427&grad=pg&etype=null&result=grade17&type=intgrade,11-APR-2025,mtech,427,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=428&grad=pg&etype=null&result=grade17&type=intgrade,11-APR-2025,mtech,428,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
M.Tech. I Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=429&grad=pg&etype=null&result=grade17&type=intgrade,11-APR-2025,mtech,429,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. IV Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=423&grad=pg&etype=null&result=grade17&type=intgrade,03-DEC-2024,mtech,423,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. III Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=417&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,417,r16,rcrvintgrade,gradercrv,pg,R22,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=418&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,418,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=419&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,419,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=420&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,420,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. I Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=421&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,421,r16,rcrvintgrade,gradercrv,pg,R22,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. I Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=422&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,07-NOV-2024,mtech,422,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. IV Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=415&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,415,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
M.Tech. IV Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=416&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,416,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. III Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=417&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,417,null,intgrade,grade17,pg,R22,Yes,Supplementary,Unknown,Unknown
M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=418&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,418,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. II Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=419&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,419,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=420&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,420,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. I Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=421&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,421,null,intgrade,grade17,pg,R22,Yes,Supplementary,Unknown,Unknown
M.Tech. I Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=422&grad=pg&etype=null&result=grade17&type=intgrade,07-OCT-2024,mtech,422,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R22) Supplementary March-2024 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=411&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,02-MAY-2024,mtech,411,r16,rcrvintgrade,gradercrv,pg,R22,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R19) Supplementary March-2024 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=412&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,02-MAY-2024,mtech,412,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. I Semester (R22) Regular March-2024 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=413&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,02-MAY-2024,mtech,413,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. I Semester (R19) Supplementary March-2024 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=414&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,02-MAY-2024,mtech,414,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=411&grad=pg&etype=null&result=grade17&type=intgrade,10-APR-2024,mtech,411,null,intgrade,grade17,pg,R22,Yes,Supplementary,Unknown,Unknown
M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=412&grad=pg&etype=null&result=grade17&type=intgrade,10-APR-2024,mtech,412,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=413&grad=pg&etype=null&result=grade17&type=intgrade,10-APR-2024,mtech,413,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
M.Tech. I Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=414&grad=pg&etype=null&result=grade17&type=intgrade,10-APR-2024,mtech,414,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. III Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=409&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,20-MAR-2024,mtech,409,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=410&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,20-MAR-2024,mtech,410,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=410&grad=pg&etype=null&result=grade17&type=intgrade,04-MAR-2024,mtech,410,null,intgrade,grade17,pg,R19,Yes,Supplementary,Unknown,Unknown
M.Tech. III Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=409&grad=pg&etype=null&result=grade17&type=intgrade,04-MAR-2024,mtech,409,null,intgrade,grade17,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. III Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=391&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,28-NOV-2023,mtech,391,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
RC/RV M.Tech. II Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=392&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,28-NOV-2023,mtech,392,r16,rcrvintgrade,gradercrv,pg,R22,No,Regular,Unknown,Unknown
RC/RV M.Tech. II Semester (R19) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=mtech&examCode=393&grad=pg&etype=r16&result=gradercrv&type=rcrvintgrade,28-NOV-2023,mtech,393,r16,rcrvintgrade,gradercrv,pg,R19,Yes,Supplementary,Unknown,Unknown
