Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
B.Tech III Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1847&etype=r17&type=intgrade,03-MAR-2025,btech,1847,r17,intgrade,,,R18,Yes,Supplementary,III,II
B.Tech III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1848&etype=r17&type=intgrade,03-MAR-2025,btech,1848,r17,intgrade,,,R16,Yes,Supplementary,III,II
B.Tech III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1849,03-MAR-2025,btech,1849,,,,,R15,Yes,Supplementary,III,II
B.Tech III Year II Semester (R18) Minor Degree Program Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1850&etype=r17&type=intgrade,03-MAR-2025,btech,1850,r17,intgrade,,,R18,Yes,Supplementary,III,II
B.Tech II Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1833&etype=r17&type=intgrade,08-FEB-2025,btech,1833,r17,intgrade,,,R22,No,Regular,II,I
B.Tech II Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1834&etype=r17&type=intgrade,08-FEB-2025,btech,1834,r17,intgrade,,,R18,Yes,Supplementary,II,I
B.Tech II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1835&etype=r17&type=intgrade,08-FEB-2025,btech,1835,r17,intgrade,,,R16,Yes,Supplementary,II,I
B.Tech II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1836,08-FEB-2025,btech,1836,,,,,R15,Yes,Supplementary,II,I
B.Tech II Year II Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1837&etype=r17&type=intgrade,08-FEB-2025,btech,1837,r17,intgrade,,,R22,Yes,Supplementary,II,II
B.Tech II Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1838&etype=r17&type=intgrade,08-FEB-2025,btech,1838,r17,intgrade,,,R18,Yes,Supplementary,II,II
B.Tech II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1839&etype=r17&type=intgrade,08-FEB-2025,btech,1839,r17,intgrade,,,R16,Yes,Supplementary,II,II
B.Tech II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1840,08-FEB-2025,btech,1840,,,,,R15,Yes,Supplementary,II,II
RC/RV B.Tech III Year II Semester (R18) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1823&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,btech,1823,r17,rcrvintgrade,gradercrv,,R18,No,Regular,III,II
RC/RV B.Tech III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1824&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,btech,1824,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,III,II
RC/RV B.Tech III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1825&etype=rcrv,30-NOV-2024,btech,1825,rcrv,,,,R15,Yes,Supplementary,III,II
RC/RV B.Tech III Year II Semester  (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1826&etype=rcrv,30-NOV-2024,btech,1826,rcrv,,,,R13,Yes,Supplementary,III,II
RC/RV B.Tech III Year II Semester (R18) Minor degree Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1827&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,btech,1827,r17,rcrvintgrade,gradercrv,,R18,No,Regular,III,II
RC/RV B.Tech III Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1828&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,btech,1828,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,III,I
RC/RV B.Tech III Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1829&etype=r17&result=gradercrv&type=rcrvintgrade,30-NOV-2024,btech,1829,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,III,I
RC/RV B.Tech III Year I Semester  (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1831&etype=rcrv,30-NOV-2024,btech,1831,rcrv,,,,R13,Yes,Supplementary,III,I
RC/RV B.Tech II Year I Semester (R22) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1818&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1818,r17,rcrvintgrade,gradercrv,,R22,Yes,Supplementary,II,I
RC/RV B.Tech II Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1819&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1819,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,II,I
